entry1 entry2
P50591 O14763
P50591 O00220
O14763 Q13158
O00220 Q13158
P48023 P25445
P25445 Q13158
Q13158 Q14790
Q13158 Q92851
P25445 A0A024
A0A024 Q99683
P01375 P19438
A0A024 Q5VWQ8
Q5VWQ8 Q99683
A0A024 Q68D39
Q99683 A1L4K2
Q99683 P45984
Q99683 A0A286
B3KY45 P05198
P05198 P18848
B2RDI5 Q6UXS9
P17655 Q6UXS9
A0A024 Q14790
A0A024 Q92851
P35638 A0A0S2
P35638 A0A024
P53634 A0A0S2
A0A024 A0A0S2
P07339 A0A0S2
P09668 A0A0S2
P43235 A0A0S2
A0A024 A0A0S2
A0A024 A0A0S2
P43234 A0A0S2
P25774 A0A0S2
P56202 A0A0S2
Q9UBR2 A0A0S2
Q9UBX1 A0A0S2
P53634 A0A024
A0A024 A0A024
P07339 A0A024
P09668 A0A024
P43235 A0A024
A0A024 A0A024
A0A024 A0A024
P43234 A0A024
P25774 A0A024
P56202 A0A024
Q9UBR2 A0A024
Q9UBX1 A0A024
Q07820 O43521
O43521 A0A0S2
O43521 A0A024
A1L4K2 A0A0S2
P45984 A0A0S2
A0A286 A0A0S2
A1L4K2 A0A024
P45984 A0A024
A0A286 A0A024
A1L4K2 A8ASI8
P45984 A8ASI8
A0A286 A8ASI8
A1L4K2 A0A024
P45984 A0A024
A0A286 A0A024
Q68D39 O15111
Q68D39 O14920
Q68D39 Q9Y6K9
O15111 P25963
O14920 P25963
Q9Y6K9 P25963
P25963 P19838
P25963 Q04206
P01138 P04629
P08700 P32927
P08700 P26951
P32927 P01112
P32927 I1SRC5
P32927 P01111
P26951 P01112
P26951 I1SRC5
P26951 P01111
P01112 L7RRS6
I1SRC5 L7RRS6
P01111 L7RRS6
O15530 Q9Y243
O15530 B0LPE5
O15530 P31751
L7RRS6 A4QPA9
L7RRS6 P36507
A4QPA9 P28482
A4QPA9 L7RXH5
P36507 P28482
P36507 L7RXH5
P04629 P42336
P04629 P42338
P04629 A0A2K8
P04629 A0A2X0
P04629 O00459
P04629 Q8N381
P04629 P01112
P04629 I1SRC5
P04629 P01111
P32927 P42336
P32927 P42338
P32927 A0A2K8
P32927 A0A2X0
P32927 O00459
P32927 Q8N381
P26951 P42336
P26951 P42338
P26951 A0A2K8
P26951 A0A2X0
P26951 O00459
P26951 Q8N381
Q9Y243 A0A024
B0LPE5 A0A024
P31751 A0A024
Q9Y243 O15111
Q9Y243 O14920
Q9Y243 Q9Y6K9
B0LPE5 O15111
B0LPE5 O14920
B0LPE5 Q9Y6K9
P31751 O15111
P31751 O14920
P31751 Q9Y6K9
A1L4K2 P05412
P45984 P05412
A0A286 P05412
A1L4K2 P01100
P45984 P01100
A0A286 P01100
A0A0S2 A0A024
A0A0S2 A0A0S2
Q96PG8 A0A024
Q96PG8 A0A0S2
A0A0S2 Q07812
A0A0S2 A0A0S2
A0A024 Q07812
A0A024 A0A0S2
A0A0S2 Q13490
A0A0S2 Q13489
A0A0S2 P98170
A0A0S2 A0A0B4
Q8NEP4 Q13490
Q8NEP4 Q13489
Q8NEP4 P98170
Q8NEP4 A0A0B4
A0A384 Q13490
A0A384 Q13489
A0A384 P98170
A0A384 A0A0B4
P53634 Q13490
P53634 Q13489
P53634 P98170
P53634 A0A0B4
A0A024 Q13490
A0A024 Q13489
A0A024 P98170
A0A024 A0A0B4
P07339 Q13490
P07339 Q13489
P07339 P98170
P07339 A0A0B4
P09668 Q13490
P09668 Q13489
P09668 P98170
P09668 A0A0B4
P43235 Q13490
P43235 Q13489
P43235 P98170
P43235 A0A0B4
A0A024 Q13490
A0A024 Q13489
A0A024 P98170
A0A024 A0A0B4
A0A024 Q13490
A0A024 Q13489
A0A024 P98170
A0A024 A0A0B4
P43234 Q13490
P43234 Q13489
P43234 P98170
P43234 A0A0B4
P25774 Q13490
P25774 Q13489
P25774 P98170
P25774 A0A0B4
P56202 Q13490
P56202 Q13489
P56202 P98170
P56202 A0A0B4
Q9UBR2 Q13490
Q9UBR2 Q13489
Q9UBR2 P98170
Q9UBR2 A0A0B4
Q9UBX1 Q13490
Q9UBX1 Q13489
Q9UBX1 P98170
Q9UBX1 A0A0B4
Q13490 P55211
Q13489 P55211
P98170 P55211
A0A0B4 P55211
P53634 A8ASI8
A0A024 A8ASI8
P07339 A8ASI8
P09668 A8ASI8
P43235 A8ASI8
A0A024 A8ASI8
A0A024 A8ASI8
P43234 A8ASI8
P25774 A8ASI8
P56202 A8ASI8
Q9UBR2 A8ASI8
Q9UBX1 A8ASI8
G4XXL9 P55211
O14727 P55211
G4XXL9 O14727
A0A024 K7PPA8
A0A024 A0A024
P10144 P68363
P10144 Q6PEY2
P10144 P0DPH7
P10144 Q9NY65
P10144 P68366
P10144 P0DPH7
P10144 Q71U36
P10144 A6NHL2
P10144 Q9BQE3
P10144 Q07820
P10144 A0A384
P10144 P20700
P10144 Q03252
P10144 Q9UGN5
P10144 A0A024
P10144 A0A024
P10144 Q9UKK3
P10144 O00273
P42574 P02549
P42574 Q13813
P55212 A0A384
P55212 P20700
P55212 Q03252
P42574 Q9UGN5
P42574 A0A024
P42574 A0A024
P42574 Q9UKK3
P55210 Q9UGN5
P55210 A0A024
P55210 A0A024
P55210 Q9UKK3
P55211 Q9UGN5
P55211 A0A024
P55211 A0A024
P55211 Q9UKK3
P42574 O00273
P55212 P60709
P55212 P63261
P42574 P60709
P42574 P63261
P55210 P60709
P55210 P63261
P10144 P42574
P10144 P55210
P10144 Q14790
Q6UXS9 P42574
